,"1k","10k","100k","200k","500k","800k","1m"
"Single Query",0.00999019,0.15038211,1.12986557,1.95820577,25.1244024,63.65997288,92.29054551
"Separate Query",0.02090368,0.11119654,0.41039081,1.0738528,2.85111477,6.00288005,8.71737189
