"Operation",100,500,1000,2000
"In condition",0.02367582,0.08423367,0.11786973,0.25722446
"In condition (optimized)",0.0133455,0.04713378,0.08119602,0.23913062
"Join memory table (manual insert)",0.01470215,0.03663723,0.08447678,0.25003548
"Join memory table (insert from select)",0.01590862,0.05075588,0.07198577,0.22392118
