"Operation",100,500,1000,2000
"In condition",0.01946423,0.07605863,0.14000826,0.28128483
"In condition (optimized)",0.01396313,0.05554497,0.09796441,0.15758243
"Join memory table (manual insert)",0.01269817,0.04231179,0.08037438,0.16251528
"Join memory table (insert from select)",0.01676545,0.04394844,0.07244799,0.13016434
